time,open,high,low,close,tick_volume,spread,real_volume
2016-11-22,1215.978,1220.867,1206.056,1212.705,80864,0,0
2016-11-23,1212.7,1214.759,1181.648,1189.4,80275,0,0
2016-11-24,1189.394,1190.67,1180.2,1185.952,61524,0,0
2016-11-25,1185.931,1193.101,1170.905,1183.736,82486,0,0
2016-11-27,1183.601,1186.852,1182.519,1186.712,2154,0,0
2016-11-28,1186.658,1197.434,1182.972,1194.553,91262,0,0
2016-11-29,1194.547,1194.834,1180.964,1188.771,85193,0,0
2016-11-30,1188.784,1194.798,1170.301,1172.251,93545,0,0
2016-12-01,1172.254,1176.542,1160.631,1173.331,95150,0,0
2016-12-02,1173.298,1177.827,1166.645,1176.52,81983,0,0
2016-12-04,1176.601,1187.785,1176.601,1180.116,4372,0,0
2016-12-05,1180.072,1181.25,1156.999,1170.016,99236,0,0
2016-12-06,1170.024,1175.13,1166.642,1169.238,76585,0,0
2016-12-07,1169.24,1180.05,1165.421,1174.787,71874,0,0
2016-12-08,1174.788,1178.419,1169.123,1170.467,77650,0,0
2016-12-09,1170.468,1171.862,1156.207,1159.077,75118,0,0
2016-12-11,1158.451,1159.836,1156.593,1158.396,1568,0,0
2016-12-12,1158.366,1165.546,1151.141,1162.938,81338,0,0
2016-12-13,1162.928,1164.834,1154.512,1158.465,72368,0,0
2016-12-14,1158.484,1165.064,1138.829,1142.737,86100,0,0
2016-12-15,1142.734,1144.253,1122.608,1127.975,98459,0,0
2016-12-16,1127.966,1141.087,1126.566,1134.169,79029,0,0
2016-12-18,1133.831,1136.646,1132.953,1135.568,1275,0,0
2016-12-19,1135.645,1142.137,1135.464,1138.497,68591,0,0
2016-12-20,1138.494,1139.557,1125.675,1131.854,73828,0,0
2016-12-21,1131.883,1136.932,1129.254,1130.804,65022,0,0
2016-12-22,1130.802,1133.892,1127.626,1128.671,59760,0,0
2016-12-23,1128.661,1135.5,1128.219,1132.513,26820,0,0
2016-12-27,1133.214,1150.6,1131.581,1139.117,42868,0,0
2016-12-28,1139.155,1144.334,1136.41,1142.223,49134,0,0
2016-12-29,1142.251,1161.74,1142.251,1160.084,56113,0,0
2016-12-30,1160.08,1162.987,1149.632,1150.643,50020,0,0
2017-01-03,1150.334,1164.04,1145.971,1157.113,69544,0,0
2017-01-04,1157.079,1167.746,1156.136,1165.675,73551,0,0
2017-01-05,1165.715,1184.773,1165.715,1180.798,82459,0,0
2017-01-06,1180.765,1182.474,1170.841,1172.205,72410,0,0
2017-01-08,1172.961,1173.889,1171.683,1173.691,1778,0,0
2017-01-09,1173.707,1185.912,1172.614,1182.436,63905,0,0
2017-01-10,1182.408,1190.385,1180.095,1185.987,73859,0,0
2017-01-11,1185.989,1198.018,1177.132,1193.342,76072,0,0
2017-01-12,1193.35,1206.823,1192.772,1196.217,76232,0,0
2017-01-13,1196.135,1200.58,1187.722,1196.801,69912,0,0
2017-01-15,1196.721,1204.741,1196.721,1203.307,1973,0,0
2017-01-16,1203.31,1208.416,1200.146,1203.001,52095,0,0
2017-01-17,1203.025,1218.658,1203.025,1215.073,68050,0,0
2017-01-18,1215.044,1217.355,1201.752,1202.926,75861,0,0
2017-01-19,1202.916,1206.332,1195.746,1203.472,82421,0,0
2017-01-20,1203.455,1214.693,1198.51,1209.67,77836,0,0
2017-01-22,1209.401,1215.494,1209.251,1215.368,2592,0,0
2017-01-23,1215.365,1219.852,1209.131,1217.283,79467,0,0
2017-01-24,1217.296,1218.443,1206.492,1209.035,69265,0,0
2017-01-25,1209.082,1209.605,1193.172,1200.763,72482,0,0
2017-01-26,1200.784,1202.434,1184.345,1188.204,71401,0,0
2017-01-27,1188.202,1191.386,1180.381,1190.244,66563,0,0
2017-01-29,1190.091,1194.416,1190.091,1194.059,2336,0,0
2017-01-30,1194.019,1199.187,1188.137,1196.493,70279,0,0
2017-01-31,1196.543,1215.148,1196.007,1211.541,79726,0,0
2017-02-01,1211.494,1212.18,1198.094,1209.702,79445,0,0
2017-02-02,1209.664,1225.094,1209.627,1214.531,81365,0,0
2017-02-03,1214.575,1221.152,1206.696,1219.602,73577,0,0
2017-02-05,1218.242,1223.151,1218.242,1220.771,2456,0,0
2017-02-06,1220.773,1235.403,1220.027,1233.246,76590,0,0
2017-02-07,1233.232,1235.556,1227.641,1231.973,79534,0,0
2017-02-08,1231.049,1244.582,1229.962,1239.775,82876,0,0
2017-02-09,1239.755,1244.349,1225.104,1226.367,82781,0,0
2017-02-10,1226.337,1236.875,1221.546,1233.029,81669,0,0
2017-02-12,1232.653,1232.743,1228.652,1230.14,1881,0,0
2017-02-13,1230.161,1232.2,1219.271,1226.119,74408,0,0
2017-02-14,1226.123,1234.41,1221.858,1228.381,83103,0,0
2017-02-15,1228.385,1233.924,1216.666,1232.937,80426,0,0
2017-02-16,1232.945,1242.275,1232.124,1238.464,85861,0,0
2017-02-17,1238.463,1243.718,1233.709,1233.962,73435,0,0
2017-02-19,1234.515,1238.067,1234.037,1236.197,1737,0,0
2017-02-20,1236.197,1238.923,1232.472,1237.009,47392,0,0
2017-02-21,1237.013,1238.808,1226.047,1234.817,78834,0,0
2017-02-22,1234.841,1240.32,1230.659,1236.82,94853,0,0
2017-02-23,1236.797,1251.079,1235.742,1249.279,87822,0,0
2017-02-24,1249.285,1260.101,1247.929,1256.572,84549,0,0
2017-02-26,1257.695,1257.725,1254.946,1255.835,1638,0,0
2017-02-27,1255.832,1263.803,1250.956,1253.355,84802,0,0
2017-02-28,1253.359,1258.263,1245.759,1245.972,96242,0,0
2017-03-01,1245.979,1250.544,1236.918,1247.145,111858,0,0
2017-03-02,1247.148,1247.954,1230.834,1235.287,96809,0,0
2017-03-03,1235.279,1236.143,1222.899,1234.257,95253,0,0
2017-03-05,1233.07,1236.751,1232.486,1236.714,2114,0,0
2017-03-06,1236.709,1236.764,1224.336,1226.005,78736,0,0
2017-03-07,1225.987,1227.046,1214.147,1216.151,81275,0,0
2017-03-08,1216.152,1218.517,1206.595,1208.389,86806,0,0
2017-03-09,1208.402,1208.989,1198.753,1199.802,91333,0,0
2017-03-10,1199.813,1206.298,1194.984,1204.042,86483,0,0
2017-03-12,1204.41,1207.211,1204.41,1205.974,2765,0,0
2017-03-13,1205.977,1211.121,1201.412,1202.235,78740,0,0
2017-03-14,1202.235,1207.557,1197.355,1200.37,80018,0,0
2017-03-15,1200.364,1221.876,1197.44,1220.465,92947,0,0
2017-03-16,1220.502,1233.547,1220.068,1226.371,90153,0,0
2017-03-17,1226.358,1231.633,1224.506,1228.712,71038,0,0
2017-03-19,1229.07,1231.274,1228.976,1231.274,2561,0,0
2017-03-20,1231.288,1235.445,1230.124,1234.614,67993,0,0
2017-03-21,1234.617,1247.508,1226.89,1246.07,87410,0,0
2017-03-22,1246.053,1251.232,1244.001,1246.0,87629,0,0
2017-03-23,1246.02,1253.166,1242.762,1245.587,85894,0,0
2017-03-24,1245.589,1251.801,1240.97,1242.557,77608,0,0
2017-03-26,1245.475,1254.008,1245.475,1252.913,5766,0,0
2017-03-27,1252.915,1260.988,1252.401,1252.964,77490,0,0
2017-03-28,1252.94,1258.323,1247.646,1250.082,76689,0,0
2017-03-29,1250.09,1254.627,1247.296,1252.588,75678,0,0
2017-03-30,1252.602,1252.946,1241.964,1243.675,75158,0,0
2017-03-31,1243.678,1250.567,1239.686,1248.455,74651,0,0
2017-04-02,1249.401,1249.796,1247.492,1248.253,2529,0,0
2017-04-03,1248.254,1255.81,1244.476,1255.569,70118,0,0
2017-04-04,1255.629,1261.156,1254.0,1255.604,75249,0,0
2017-04-05,1255.567,1258.869,1243.685,1258.255,82835,0,0
2017-04-06,1258.26,1258.762,1249.693,1251.463,82012,0,0
2017-04-07,1251.47,1270.471,1250.593,1253.91,98124,0,0
2017-04-09,1253.975,1255.845,1253.474,1254.955,4009,0,0
2017-04-10,1254.946,1257.02,1247.118,1255.954,77715,0,0
2017-04-11,1255.97,1276.168,1253.113,1276.055,86522,0,0
2017-04-12,1276.085,1287.218,1271.926,1287.17,93517,0,0
2017-04-13,1287.183,1288.577,1281.848,1286.982,87807,0,0
2017-04-14,1287.149,1287.149,1287.149,1287.149,1,0,0
2017-04-16,1290.301,1295.451,1289.824,1294.592,6715,0,0
2017-04-17,1294.579,1295.026,1281.268,1282.985,76232,0,0
2017-04-18,1282.978,1292.243,1278.884,1289.163,91984,0,0
2017-04-19,1289.182,1289.256,1273.751,1279.536,90470,0,0
2017-04-20,1279.545,1283.284,1276.656,1281.194,87037,0,0
2017-04-21,1281.097,1288.194,1278.526,1284.5,48410,0,0
2017-04-23,1275.755,1275.755,1265.479,1274.129,8265,0,0
2017-04-24,1274.146,1278.112,1266.67,1277.422,73621,0,0
2017-04-25,1277.475,1277.814,1261.514,1263.659,75472,0,0
2017-04-26,1263.631,1270.665,1259.654,1267.46,83089,0,0
2017-04-27,1267.473,1268.368,1261.089,1263.993,72352,0,0
2017-04-28,1263.979,1268.464,1263.31,1267.898,60524,0,0
2017-04-30,1268.175,1271.126,1268.06,1270.305,2196,0,0
2017-05-01,1270.305,1270.404,1254.122,1256.693,56696,0,0
2017-05-02,1256.701,1257.719,1251.944,1256.567,74492,0,0
2017-05-03,1256.571,1256.916,1235.913,1238.24,74138,0,0
2017-05-04,1238.231,1241.265,1225.708,1228.303,82704,0,0
2017-05-05,1228.317,1235.58,1226.092,1226.922,80038,0,0
2017-05-07,1223.04,1234.707,1220.879,1234.654,6125,0,0
2017-05-08,1234.656,1236.504,1225.523,1227.765,75679,0,0
2017-05-09,1227.775,1228.555,1214.251,1223.428,82013,0,0
2017-05-10,1223.43,1225.633,1217.53,1217.723,76108,0,0
2017-05-11,1217.704,1227.492,1216.89,1224.871,75464,0,0
2017-05-12,1224.847,1231.69,1224.454,1227.687,70036,0,0
2017-05-14,1228.175,1230.489,1227.638,1229.698,3614,0,0
2017-05-15,1229.699,1237.263,1227.007,1231.434,74296,0,0
2017-05-16,1231.441,1244.438,1230.418,1243.402,76225,0,0
2017-05-17,1243.422,1263.026,1241.01,1260.28,95849,0,0
2017-05-18,1260.287,1264.963,1245.919,1248.539,104282,0,0
2017-05-19,1248.515,1256.41,1247.33,1255.151,81607,0,0
2017-05-21,1257.175,1257.557,1254.532,1256.964,4772,0,0
2017-05-22,1256.966,1263.466,1251.781,1263.103,79280,0,0
2017-05-23,1263.098,1263.75,1250.623,1250.984,84251,0,0
