open,high,low,close,tick_volume,spread,real_volume
2644.913,2644.995,2640.508,2641.11,1854,111,0
2641.107,2642.185,2640.358,2641.377,1891,112,0
2641.345,2642.204,2639.525,2639.798,2104,112,0
2639.835,2640.93,2637.778,2638.879,1942,111,0
2638.927,2640.483,2636.614,2640.265,2214,111,0
2640.312,2642.275,2639.357,2641.292,1990,111,0
2641.335,2642.59,2638.636,2642.078,2176,111,0
2642.113,2642.721,2639.965,2642.506,1683,112,0
2642.522,2642.759,2640.495,2640.986,1742,111,0
2640.982,2641.43,2639.158,2640.909,1659,111,0
2640.954,2642.134,2640.231,2641.483,2161,111,0
2641.525,2642.423,2640.642,2641.861,1415,112,0
2641.899,2643.17,2640.407,2641.6,1838,111,0
2641.616,2644.553,2641.434,2644.384,1670,112,0
2644.399,2646.039,2644.3,2645.122,1557,112,0
2645.145,2647.186,2644.291,2646.765,1736,111,0
2646.778,2647.759,2644.896,2645.617,1822,111,0
2645.56,2646.534,2643.422,2646.192,1849,112,0
2646.227,2646.569,2644.595,2645.127,1765,111,0
2645.13,2645.247,2641.537,2643.298,1705,112,0
2643.314,2644.301,2641.782,2643.172,1827,111,0
2643.132,2644.185,2636.234,2637.102,3341,111,0
2637.074,2638.677,2632.354,2634.764,4718,111,0
2634.757,2645.797,2634.659,2645.145,4211,111,0
2645.142,2648.091,2641.575,2644.775,5843,112,0
2644.787,2649.26,2643.359,2648.493,3986,111,0
2648.453,2650.265,2647.489,2648.849,3559,111,0
2648.804,2653.246,2645.086,2652.437,3971,111,0
2652.499,2653.549,2649.659,2651.282,4229,111,0
2651.261,2652.706,2648.793,2649.433,4155,111,0
2649.458,2652.809,2648.725,2650.669,5351,111,0
2650.64,2655.993,2649.202,2653.781,4585,111,0
2653.819,2657.208,2653.149,2655.594,5042,111,0
2655.555,2656.381,2651.775,2655.059,4089,111,0
2655.008,2655.605,2653.48,2654.142,3148,111,0
2654.085,2654.669,2651.32,2654.478,2910,111,0
2654.502,2655.237,2650.01,2650.567,2553,111,0
2650.566,2650.566,2646.967,2649.708,2636,111,0
2649.733,2651.094,2648.48,2650.945,2460,111,0
2650.947,2653.011,2650.923,2651.222,2053,112,0
2651.192,2651.623,2649.331,2650.181,1943,111,0
2650.19,2652.475,2650.161,2651.349,1629,112,0
2651.357,2652.495,2650.239,2650.61,1886,111,0
2650.648,2652.998,2650.304,2651.788,1857,111,0
2651.749,2651.902,2649.461,2650.678,1564,112,0
2650.661,2652.264,2648.823,2649.125,1519,111,0
2649.149,2653.506,2646.849,2653.506,2881,112,0
2653.478,2655.511,2650.468,2651.251,1859,112,0
2651.27,2652.993,2651.092,2651.776,1915,111,0
2651.794,2653.201,2650.742,2651.735,1482,111,0
2651.703,2651.986,2649.699,2649.722,1317,112,0
2649.735,2650.11,2648.09,2648.954,1378,111,0
2648.939,2649.95,2648.244,2648.863,1277,112,0
2648.855,2650.681,2648.689,2650.025,1599,112,0
